Datum;Gericht 1;Gericht 2;Gericht 3;
04.02.2013;Forelle Muellerin Art;Penne Arrabiata mit Speck;Penne mit Pesto Rosso
05.02.2013;Chickenburger;Rindergeschnetzeltes mit Reis;Gebackener Camembert
06.02.2013;Pfannkuchen mit Kirschen;Moussaka;Toast Italiano
07.02.2013;Haehnchenbrust in Salbeisauce m. Reis;Toast Hawaii;Schokoladenfondue
08.02.2013;Chili con carne;Frittierte Mozzarellakugeln in Gorgonzolasauce;Elcheintopf
11.02.2013;Spinat mit Kartoffeln und Ei;Cordon Bleu mit Kartoffeln;Penne mit Spinatsauce
12.02.2013;Tofu-Reispfanne;Gyros mit Pommes;Gnocchi mit Tomatensauce
13.02.2013;Pangasiusfilet mit Kartoffelstampf;Raclette;Italienische Gemuesepfanne mit Haehnchen
14.02.2013;Gemuesebratling mit Curryreis;Spaghetti Bolognese;Belgische Pommes Rot-Weiss
15.02.2013;Penne Arrabiata Vegetarisch;Seelachs mit Kartoffel-Knusperkruste;Truthahn in Estragonsauce mit Reis
18.02.2013;Bunte Gemuesepfanne;Penne mit Pesto Verde;Truthahn mit Blumenkohl
19.02.2013;Gnocchipfanne;Spaghetti Aglio e Olio;Schweinefilet Avantgarde
20.02.2013;Nudelsuppe;Pizza Hawaii;Lachs Suess-Sauer
21.02.2013;Pilzravioli mit Sauce Hollandaise;Omelette mit Kartoffeln;Huehner-Nudel-Auflauf
22.02.2013;Bohneneintopf Mexiko;Rouladen mit Rotkohl und Kartoffeln;Birnenmilchreis
