Lieferant;Zutat;Menge;Wert;Waehrung;Kosten in Euro;
Biohof Maier - direkt an der A40;Kopfsalat;31000 Gramm;53,01;Euro;53,01 Euro
;;;;Kosten fuer Biohof Maier - direkt an der A40:;53,01 Euro

Metri AG;Penne;263000 Gramm;462,88;Euro;462,88 Euro
Metri AG;Vollmilchschokolade;98000 Gramm;632,10;Euro;632,10 Euro
Metri AG;Mayonnaise;16000 Gramm;45,60;Euro;45,60 Euro
Metri AG;Emmentaler;22000 Gramm;112,86;Euro;112,86 Euro
Metri AG;Erdbeeren;49000 Gramm;278,81;Euro;278,81 Euro
Metri AG;Broccoli;31000 Gramm;116,56;Euro;116,56 Euro
Metri AG;Parmesan;14000 Gramm;60,76;Euro;60,76 Euro
Metri AG;Pangasius;98000 Gramm;906,50;Euro;906,50 Euro
Metri AG;Ringli;53000 Gramm;105,47;Euro;105,47 Euro
Metri AG;Rotkohl;90000 Gramm;359,10;Euro;359,10 Euro
Metri AG;Tomatenmark;2000 Gramm;8,74;Euro;8,74 Euro
Metri AG;Zaziki;31000 Gramm;123,38;Euro;123,38 Euro
Metri AG;Lorbeerblatt;600 Stueck;130,80;Euro;130,80 Euro
Metri AG;Reis;211000 Gramm;694,19;Euro;694,19 Euro
Metri AG;Spinat;120000 Gramm;708,00;Euro;708,00 Euro
Metri AG;Pflanzenoel;143000 Gramm;191,62;Euro;191,62 Euro
Metri AG;Sojasprossen;37000 Gramm;224,22;Euro;224,22 Euro
Metri AG;Basilikum;13000 Gramm;78,78;Euro;78,78 Euro
Metri AG;Tomaten;5000 Stueck;1.820,00;Euro;1.820,00 Euro
Metri AG;Cocktailsauce;31 Liter;142,60;Euro;142,60 Euro
Metri AG;Rinderroulade;1200 Stueck;1.195,20;Euro;1.195,20 Euro
Metri AG;Olivenoel;16000 Gramm;16,16;Euro;16,16 Euro
Metri AG;Banane;490 Stueck;296,94;Euro;296,94 Euro
Metri AG;Ei;4210 Stueck;408,37;Euro;408,37 Euro
Metri AG;Garnelenaroma;2000 Gramm;9,34;Euro;9,34 Euro
Metri AG;Buttergemuese TK;31000 Gramm;155,62;Euro;155,62 Euro
Metri AG;Schweinefilet;46000 Gramm;633,88;Euro;633,88 Euro
Metri AG;Burgerbroetchen;310 Stueck;183,21;Euro;183,21 Euro
Metri AG;Paprika;2080 Stueck;2.028,00;Euro;2.028,00 Euro
Metri AG;Zwiebel;3240 Stueck;281,88;Euro;281,88 Euro
Metri AG;Pfeffer;37000 Gramm;282,31;Euro;282,31 Euro
Metri AG;Kochschinken;72000 Gramm;314,64;Euro;314,64 Euro
Metri AG;Gouda;31000 Gramm;153,45;Euro;153,45 Euro
Metri AG;Salbei;4000 Gramm;28,32;Euro;28,32 Euro
Metri AG;Mascarpone;7000 Gramm;35,84;Euro;35,84 Euro
Metri AG;Halbbitterschokolade;98000 Gramm;882,98;Euro;882,98 Euro
Metri AG;Passierte Tomaten;61000 Gramm;143,96;Euro;143,96 Euro
Metri AG;Muskat;13000 Gramm;85,41;Euro;85,41 Euro
Metri AG;MensaFix fuer braune Pampe;25000 Gramm;23,75;Euro;23,75 Euro
Metri AG;Grundsauce Dunkel;9000 Gramm;98,55;Euro;98,55 Euro
Metri AG;Spaghetti;38000 Gramm;73,72;Euro;73,72 Euro
Metri AG;Seelachs;120000 Gramm;927,60;Euro;927,60 Euro
Metri AG;Hokkaido-Kuerbis;91000 Gramm;174,72;Euro;174,72 Euro
Metri AG;Feta;64000 Gramm;340,48;Euro;340,48 Euro
Metri AG;Gemuesebratling;310 Stueck;280,86;Euro;280,86 Euro
Metri AG;Scheiblettenkaese;53000 Gramm;199,28;Euro;199,28 Euro
Metri AG;Pizzateig vorgebacken;310 Stueck;269,08;Euro;269,08 Euro
Metri AG;Forelle;104000 Gramm;1.520,48;Euro;1.520,48 Euro
Metri AG;Karotten;136000 Gramm;480,08;Euro;480,08 Euro
Metri AG;Sahne;230000 Gramm;503,70;Euro;503,70 Euro
Metri AG;Raclettekaese;132000 Gramm;1.211,76;Euro;1.211,76 Euro
Metri AG;Basmatireis;166000 Gramm;620,84;Euro;620,84 Euro
Metri AG;Mehl;150000 Gramm;201,00;Euro;201,00 Euro
Metri AG;Joghurt;30000 Gramm;61,80;Euro;61,80 Euro
Metri AG;Kokosmilch;267 Liter;923,82;Euro;923,82 Euro
Metri AG;Zucchini;141000 Gramm;363,78;Euro;363,78 Euro
Metri AG;Kugelfisch-Muskelfleisch;98000 Gramm;11.623,78;Euro;11.623,78 Euro
Metri AG;Dill;17000 Gramm;112,20;Euro;112,20 Euro
Metri AG;Toastbrot;125000 Gramm;296,25;Euro;296,25 Euro
Metri AG;Weissweinverschnitt;151 Liter;110,23;Euro;110,23 Euro
Metri AG;Analogkaese;31000 Gramm;81,84;Euro;81,84 Euro
Metri AG;Kirschen;169000 Gramm;1.069,77;Euro;1.069,77 Euro
